gw_id,istc_id,corpus_file,gw_url,istc_url
12976,ic00993000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12976.htm,https://data.cerl.org/istc/ic00993000
12977,ic00993500,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12977.htm,https://data.cerl.org/istc/ic00993500
12978,ic00989970,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12978.htm,https://data.cerl.org/istc/ic00989970
12979,ic00992300,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12979.htm,https://data.cerl.org/istc/ic00992300
12980,ic00992500,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12980.htm,https://data.cerl.org/istc/ic00992500
12981,ig00112700,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12981.htm,https://data.cerl.org/istc/ig00112700
12983,ih00427995,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12983.htm,https://data.cerl.org/istc/ih00427995
12984,ih00433400,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12984.htm,https://data.cerl.org/istc/ih00433400
12985,ig00113000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12985.htm,https://data.cerl.org/istc/ig00113000
12986,ih00433500,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12986.htm,https://data.cerl.org/istc/ih00433500
12987,ih00429000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12987.htm,https://data.cerl.org/istc/ih00429000
12988,ig00112800,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12988.htm,https://data.cerl.org/istc/ig00112800
12989,ig00112900,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12989.htm,https://data.cerl.org/istc/ig00112900
12990,ih00427990,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12990.htm,https://data.cerl.org/istc/ih00427990
12991,ih00427998,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12991.htm,https://data.cerl.org/istc/ih00427998
12992,ih00433460,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12992.htm,https://data.cerl.org/istc/ih00433460
12993,ih00428000,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12993.htm,https://data.cerl.org/istc/ih00428000
12994,ik00003600,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12994.htm,https://data.cerl.org/istc/ik00003600
12995,ih00433480,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12995.htm,https://data.cerl.org/istc/ih00433480
12996,ih00433350,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12996.htm,https://data.cerl.org/istc/ih00433350
12997,ih00429200,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12997.htm,https://data.cerl.org/istc/ih00429200
12998,ih00433700,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12998.htm,https://data.cerl.org/istc/ih00433700
12999,ig00113060,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW12999.htm,https://data.cerl.org/istc/ig00113060
13000,ig00113080,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13000.htm,https://data.cerl.org/istc/ig00113080
13002,ig00113100,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13002.htm,https://data.cerl.org/istc/ig00113100
13003,ig00113110,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13003.htm,https://data.cerl.org/istc/ig00113110
13004,ig00113130,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13004.htm,https://data.cerl.org/istc/ig00113130
13005,ig00113135,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13005.htm,https://data.cerl.org/istc/ig00113135
13006,ig00113138,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13006.htm,https://data.cerl.org/istc/ig00113138
13007,ig00113160,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13007.htm,https://data.cerl.org/istc/ig00113160
13008,ig00113150,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13008.htm,https://data.cerl.org/istc/ig00113150
13009,ig00113140,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13009.htm,https://data.cerl.org/istc/ig00113140
13010,ig00113180,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13010.htm,https://data.cerl.org/istc/ig00113180
13011,ig00113170,horae-gw-corpus.csv,https://gesamtkatalogderwiegendrucke.de/docs/GW13011.htm,https://data.cerl.org/istc/ig00113170
