gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note,corpus_file
04367,Pseudo-Birgitta: Orationes quindecim. Daran: Jacopone da Todi: VII dolores beatae Mariae (Stabat mater). — Oratio ad Beatam Virginem Mariam.,"Pseudo-Birgitta: Orationes quindecim. Daran: Jacopone da Todi: VII dolores beatae Mariae (Stabat mater). — Oratio ad Beatam Virginem Mariam. [Rom: Johann Besicken, um 1494]. 8°",Rom,1494,1494,,ib00678500,https://gesamtkatalogderwiegendrucke.de/docs/GW04367.htm,https://data.cerl.org/istc/ib00678500,,supplementary-gw-corpus.csv
04368,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Stephan Plannck, um 1495]. 8°",Rom,1495,1495,,ib00679000,https://gesamtkatalogderwiegendrucke.de/docs/GW04368.htm,https://data.cerl.org/istc/ib00679000,,supplementary-gw-corpus.csv
04369,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Stephan Plannck, um 1495]. 8°",Rom,1495,1495,,ib00679100,https://gesamtkatalogderwiegendrucke.de/docs/GW04369.htm,https://data.cerl.org/istc/ib00679100,,supplementary-gw-corpus.csv
04370,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, um 1495]. 12°",Rom,1495,1495,,ib00679200,https://gesamtkatalogderwiegendrucke.de/docs/GW04370.htm,https://data.cerl.org/istc/ib00679200,,supplementary-gw-corpus.csv
04371,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, um 1495]. 8°",Rom,1495,1495,,ib00681500,https://gesamtkatalogderwiegendrucke.de/docs/GW04371.htm,https://data.cerl.org/istc/ib00681500,,supplementary-gw-corpus.csv
04372,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Petrus de Turre, um 1499]. 12°",Rom,1499,1499,,ib00679400,https://gesamtkatalogderwiegendrucke.de/docs/GW04372.htm,https://data.cerl.org/istc/ib00679400,,supplementary-gw-corpus.csv
04373,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Johann Besicken, um 1499]. 8°",Rom,1499,1499,,ib00679500,https://gesamtkatalogderwiegendrucke.de/docs/GW04373.htm,https://data.cerl.org/istc/ib00679500,,supplementary-gw-corpus.csv
04374,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, um 1500] [vielmehr Marcellus Silber, nicht vor 1510]. 8°",Rom,1500,1500,,ib00683400,https://gesamtkatalogderwiegendrucke.de/docs/GW04374.htm,https://data.cerl.org/istc/ib00683400,,supplementary-gw-corpus.csv
04375,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, um 1500] [vielmehr um 1509]. 8°",Rom,1500,1509,,ib00683200,https://gesamtkatalogderwiegendrucke.de/docs/GW04375.htm,https://data.cerl.org/istc/ib00683200,,supplementary-gw-corpus.csv
04376,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, um 1500]. 8°",Rom,1500,1500,,ib00682700,https://gesamtkatalogderwiegendrucke.de/docs/GW04376.htm,https://data.cerl.org/istc/ib00682700,,supplementary-gw-corpus.csv
04377,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Johann Besicken, um 1500]. 8°",Rom,1500,1500,,ib00679850,https://gesamtkatalogderwiegendrucke.de/docs/GW04377.htm,https://data.cerl.org/istc/ib00679850,,supplementary-gw-corpus.csv
0437710N,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, um 1500]. 8°",Rom,1500,1500,,,https://gesamtkatalogderwiegendrucke.de/docs/GW0437710N.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden,supplementary-gw-corpus.csv
04378,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Johann Besicken, um 1500]. 8°",Rom,1500,1500,,ib00679900,https://gesamtkatalogderwiegendrucke.de/docs/GW04378.htm,https://data.cerl.org/istc/ib00679900,,supplementary-gw-corpus.csv
04379,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, um 1500]. 8°",Rom,1500,1500,,ib00680000,https://gesamtkatalogderwiegendrucke.de/docs/GW04379.htm,https://data.cerl.org/istc/ib00680000,,supplementary-gw-corpus.csv
04380,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Johann Besicken, um 1500]. 8°",Rom,1500,1500,,ib00680400,https://gesamtkatalogderwiegendrucke.de/docs/GW04380.htm,https://data.cerl.org/istc/ib00680400,,supplementary-gw-corpus.csv
04381,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Johann Besicken, um 1500]. 8°",Rom,1500,1500,,ib00680600,https://gesamtkatalogderwiegendrucke.de/docs/GW04381.htm,https://data.cerl.org/istc/ib00680600,,supplementary-gw-corpus.csv
04382,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Johann Besicken, nach 1500(?)] [vielmehr Andreas Fritag oder Johann Besicken und Andreas Fritag, um 1494/96]. 8°",Rom,1494,1500,,ib00681000,https://gesamtkatalogderwiegendrucke.de/docs/GW04382.htm,https://data.cerl.org/istc/ib00681000,,supplementary-gw-corpus.csv
04383,"Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis.","Pseudo-Birgitta: Orationes quindecim. Daran: Pseudo-Augustinus, Aurelius: Oratio pro tribulatis. [Rom: Eucharius Silber, nach 1500(?)]. 8°",Rom,1500,1500,,ib00683450,https://gesamtkatalogderwiegendrucke.de/docs/GW04383.htm,https://data.cerl.org/istc/ib00683450,,supplementary-gw-corpus.csv
