gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note
12975,Horae. Cursus.,"Horae. Cursus. Ulm: Johann Zainer d.Ä., [um 1482]. 8°",Ulm,1482,1482,,ic00989950,https://gesamtkatalogderwiegendrucke.de/docs/GW12975.htm,https://data.cerl.org/istc/ic00989950,
12976,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. [Ulm: Konrad Dinckmut, nicht nach 1485]. 8°",Ulm,1485,1485,,ic00993000,https://gesamtkatalogderwiegendrucke.de/docs/GW12976.htm,https://data.cerl.org/istc/ic00993000,
12977,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. [Ulm: Konrad Dinckmut, um 1487]. 8°",Ulm,1487,1487,,ic00993500,https://gesamtkatalogderwiegendrucke.de/docs/GW12977.htm,https://data.cerl.org/istc/ic00993500,
12978,Horae. Cursus.,"Horae. Cursus. [Ulm: Johann Zainer d.Ä., um 1488]. (auf Halbbögen) 8°",Ulm,1488,1488,,ic00989970,https://gesamtkatalogderwiegendrucke.de/docs/GW12978.htm,https://data.cerl.org/istc/ic00989970,
12979,Horae. Cursus.,"Horae. Cursus. Ulm: Johann Schäffler, 22.IX.1492. 16°",Ulm,1492,1492,,ic00992300,https://gesamtkatalogderwiegendrucke.de/docs/GW12979.htm,https://data.cerl.org/istc/ic00992300,
12980,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. Ulm: Johann Schäffler, 1494. 8°",Ulm,1494,1494,,ic00992500,https://gesamtkatalogderwiegendrucke.de/docs/GW12980.htm,https://data.cerl.org/istc/ic00992500,
12981,"Horae, deutsch.","Horae, deutsch. Augsburg: Günther Zainer, 12.III.1471. 8°",Augsburg,1471,1471,deutsch,ig00112700,https://gesamtkatalogderwiegendrucke.de/docs/GW12981.htm,https://data.cerl.org/istc/ig00112700,
12982,"Horae, deutsch. Betbüchlein von den sieben Tagzeiten unseres Herrn, auch die sieben Tagzeiten unsrer Frauen, auch von vielen Heiligen und andere Gebete.","Horae, deutsch. Betbüchlein von den sieben Tagzeiten unseres Herrn, auch die sieben Tagzeiten unsrer Frauen, auch von vielen Heiligen und andere Gebete. [Augsburg: Anton Sorg, um 1483].",Augsburg,1483,1483,deutsch,,https://gesamtkatalogderwiegendrucke.de/docs/GW12982.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden
12983,"Horae, deutsch. Curs.","Horae, deutsch. Curs. [Augsburg: Anton Sorg, um 1485]. 8°",Augsburg,1485,1485,deutsch,ih00427995,https://gesamtkatalogderwiegendrucke.de/docs/GW12983.htm,https://data.cerl.org/istc/ih00427995,
12984,"Horae, deutsch. Curs unserer Lieben Frau.","Horae, deutsch. Curs unserer Lieben Frau. Kirchheim: [Markus Reinhard], 1491. 8°",Kirchheim,1491,1491,deutsch,ih00433400,https://gesamtkatalogderwiegendrucke.de/docs/GW12984.htm,https://data.cerl.org/istc/ih00433400,
12985,"Horae, deutsch.","Horae, deutsch. [Nürnberg: Drucker der Rochuslegende (H 13928), um 1481]. 8°",Nürnberg,1481,1481,deutsch,ig00113000,https://gesamtkatalogderwiegendrucke.de/docs/GW12985.htm,https://data.cerl.org/istc/ig00113000,
12986,"Horae, deutsch.","Horae, deutsch. [Nürnberg: Friedrich Creussner, um 1495]. 16°",Nürnberg,1495,1495,deutsch,ih00433500,https://gesamtkatalogderwiegendrucke.de/docs/GW12986.htm,https://data.cerl.org/istc/ih00433500,
12987,"Horae, deutsch. Die sieben deutschen Curs von Unsrer Lieben Frau.","Horae, deutsch. Die sieben deutschen Curs von Unsrer Lieben Frau. Reutlingen: Michael Greyff, 1492. 8°",Reutlingen,1492,1492,deutsch,ih00429000,https://gesamtkatalogderwiegendrucke.de/docs/GW12987.htm,https://data.cerl.org/istc/ih00429000,
12988,"Horae, deutsch.","Horae, deutsch. [Ulm: Johann Zainer d.Ä., um 1476]. 8°",Ulm,1476,1476,deutsch,ig00112800,https://gesamtkatalogderwiegendrucke.de/docs/GW12988.htm,https://data.cerl.org/istc/ig00112800,
12989,"Horae, deutsch.","Horae, deutsch. [Ulm: Konrad Dinckmut, um 1480]. 16°",Ulm,1480,1480,deutsch,ig00112900,https://gesamtkatalogderwiegendrucke.de/docs/GW12989.htm,https://data.cerl.org/istc/ig00112900,
12990,"Horae, deutsch. Curs.","Horae, deutsch. Curs. Ulm: Konrad Dinckmut, 1484. 8°",Ulm,1484,1484,deutsch,ih00427990,https://gesamtkatalogderwiegendrucke.de/docs/GW12990.htm,https://data.cerl.org/istc/ih00427990,
12991,"Horae, deutsch.","Horae, deutsch. [Ulm: Konrad Dinckmut, um 1488/91]. 8°",Ulm,1488,1491,deutsch,ih00427998,https://gesamtkatalogderwiegendrucke.de/docs/GW12991.htm,https://data.cerl.org/istc/ih00427998,
12992,"Horae, deutsch.","Horae, deutsch. [Ulm: Johann Reger, um 1491]. 8°",Ulm,1491,1491,deutsch,ih00433460,https://gesamtkatalogderwiegendrucke.de/docs/GW12992.htm,https://data.cerl.org/istc/ih00433460,
12993,"Horae, deutsch. Die sieben Curs auf einen jeglichen Tag der Woche.","Horae, deutsch. Die sieben Curs auf einen jeglichen Tag der Woche. Ulm: Konrad Dinckmut, 1491. 8°",Ulm,1491,1491,deutsch,ih00428000,https://gesamtkatalogderwiegendrucke.de/docs/GW12993.htm,https://data.cerl.org/istc/ih00428000,
