mapping_id,station_type,match_field,source_key,source_label,affected_station_count,source_context_ids,resolved_name,resolution_level,country_code,place_authority,place_authority_id,place_authority_url,place_wikidata_id,institution_wikidata_id,latitude,longitude,resolution_status,resolution_method,source_record_url,resolution_note,match_context_field,match_context_key,apply_to_existing_coordinates
current_holding-berlinsb,current_holding,institution_id,BerlinSB,"Berlin, Staatsbibliothek",1,00200668,Berlin,city,DE,GeoNames,2950159,https://www.geonames.org/2950159,,Q170109,52.52437,13.41053,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/BerlinSB,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-bolognau,current_holding,institution_id,BolognaU,"Bologna, Biblioteca Universitaria",1,02003957,Bologna,city,IT,GeoNames,3181927,https://www.geonames.org/3181927,,,44.46667,11.43333,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/BolognaU,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-harvardhoughton,current_holding,institution_id,HarvardHoughton,"Cambridge MA, Harvard University, Houghton Library",1,02008999,Cambridge (Massachusetts),city,US,GeoNames,4931972,https://www.geonames.org/4931972,Q49111,,42.37510,-71.10561,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/HarvardHoughton,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-cambridgeul,current_holding,institution_id,CambridgeUL,"Cambridge, University Library",11,00200669 | 00559194 | 00559195 | 00559196 | 00559198 | 00559729 | 00560442 | 00560452 | 00560456 | 00560457 | 00560462,Cambridge,city,GB,GeoNames,2653941,https://www.geonames.org/2653941,,Q1028334,52.2,0.11667,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/CambridgeUL,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-thehaguemmw,current_holding,institution_id,TheHagueMMW,"Den Haag, Huis van het Boek ",5,02138264 | 02138782 | 02138784 | 02138785 | 02139272,The Hague,city,NL,GeoNames,2747373,https://www.geonames.org/2747373,,,52.07667,4.29861,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/TheHagueMMW,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-nlkb,current_holding,institution_id,NLKB,"Den Haag, Koninklijke Bibliotheek - Nationale Bibliotheek van Nederland",4,02100225 | 02100561 | 02101635 | 02101705,The Hague,city,NL,GeoNames,2747373,https://www.geonames.org/2747373,,,52.07667,4.29861,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/NLKB,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-deventersab,current_holding,institution_id,DeventerSAB,"Deventer, Athenaeumbibliotheek ",1,02150602,Deventer,city,NL,GeoNames,2756987,https://www.geonames.org/2756987,,,52.255,6.16389,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/DeventerSAB,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-ferrarac,current_holding,institution_id,FerraraC,"Ferrara, Biblioteca Comunale Ariostea",2,00200698 | 00200699,Ferrara,city,IT,GeoNames,3177090,https://www.geonames.org/3177090,,,44.83804,11.62057,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/FerraraC,"The holding institution is mapped to the Ferrara populated-place record, not to exact building coordinates. The earlier MEI-derived ID 6299592 identifies a bus-terminal/airport feature."
current_holding-firenzericc,current_holding,institution_id,FirenzeRicc,Firenze Biblioteca Riccardiana,2,00200671 | 02003958,Florence,city,IT,GeoNames,3176959,https://www.geonames.org/3176959,,,43.77925,11.24626,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/FirenzeRicc,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
current_holding-firenzen,current_holding,institution_id,FirenzeN,"Firenze, Biblioteca Nazionale Centrale",3,00200670 | 00200693 | 00200694,Florence,city,IT,GeoNames,3176959,https://www.geonames.org/3176959,,,43.77925,11.24626,resolved,cerl_holding_city_to_geonames,https://data.cerl.org/holdinst/FirenzeN,"The holding institution is mapped to its city-level GeoNames point, not to building coordinates."
